url_path,views_total,views_unique
/microsoft/power-platform-skills,815,495
/microsoft/power-platform-skills/tree/main/plugins,145,89
/microsoft/power-platform-skills/pulls,97,19
/microsoft/power-platform-skills/tree/main/plugins/power-apps,80,54
/microsoft/power-platform-skills/tree/main,66,33
/microsoft/power-platform-skills/tree/main/plugins/power-pages,65,38
/microsoft/power-platform-skills/blob/main/plugins/power-apps/skills/genpage/SKILL.md,49,27
/microsoft/power-platform-skills/blob/main/README.md,44,24
/microsoft/power-platform-skills/blob/main/CLAUDE.md,40,24
/microsoft/power-platform-skills/tree/main/.claude,39,35
